Iteration,Log Loss Value
1,0.6855127165252938
2,0.6791431699917218
3,0.6727317871678719
4,0.6664822708433835
5,0.66043069471439
6,0.6545792992351692
7,0.648915744802431
8,0.6434240070072155
9,0.6380892728825911
10,0.6328997568614482
11,0.6278470289622233
12,0.6229256451038794
13,0.618132475277232
14,0.613465942469647
15,0.6089253002364228
16,0.604510030006303
17,0.600219402236145
18,0.5960522105236277
19,0.5920066585533245
20,0.5880803620486144
21,0.5842704233407905
22,0.5805735414917633
23,0.5769861309428931
24,0.5735044320439473
25,0.570124605180028
26,0.5668428058948775
27,0.5636552417271335
28,0.5605582130860519
29,0.5575481410285247
30,0.5546215847456126
31,0.55177525123199
32,0.5490059991893
33,0.5463108387951373
34,0.5436869285996453
35,0.5411315705046078
36,0.5386422035358495
37,0.5362163969271846
38,0.5338518428901232
39,0.531546349333898
40,0.5292978327162844
41,0.5271043111480989
42,0.524963897828159
43,0.5228747948532061
44,0.5208352874256036
45,0.5188437384638935
46,0.5168985836096516
47,0.5149983266182487
48,0.5131415351136002
49,0.51132683668553
50,0.5095529153064545
51,0.5078185080426708
52,0.5061224020373135
53,0.5044634317411573
54,0.502840476369109
55,0.5012524575621096
56,0.4996983372344654
57,0.4981771155889306
58,0.49668782928331046
59,0.4952295497334592
60,0.49380138153862563
61,0.49240246101782004
62,0.49103195484561907
63,0.4896890587772126
64,0.48837299645487436
65,0.4870830182859086
66,0.4858184003878139
67,0.48457844359126134
68,0.48336247249708836
69,0.48216983458187235
70,0.4809998993468091
71,0.47985205750653326
72,0.47872572021364146
73,0.4776203183159043
74,0.47653530164356095
75,0.4754701383231582
76,0.4744243141165671
77,0.4733973317827171
78,0.4723887104602374
79,0.4713979850699921
80,0.47042470573492867
81,0.46946843721820386
82,0.4685287583768098
83,0.4676052616304166
84,0.4666975524462849
85,0.465805248837261
86,0.4649279808752527
87,0.4640653902181293
88,0.4632171296508848
89,0.46238286264066303
90,0.4615622629061247
91,0.46075501400091934
92,0.45996080891146157
93,0.4591793496698214
94,0.45841034698037514
95,0.45765351986258856
96,0.45690859530784056
97,0.45617530795189953
98,0.45545339976246707
99,0.45474261974151675
100,0.4540427236438541
101,0.4533534737086374
102,0.45267463840780586
103,0.45200599220709325
104,0.45134731534227035
105,0.45069839360814906
106,0.45005901816148847
107,0.4494289853356234
108,0.44880809646771597
109,0.44819615773713345
110,0.4475929800139572
111,0.446998378718558
112,0.44641217368926234
113,0.4458341890590589
114,0.44526425314059087
115,0.4447021983173618
116,0.4441478609421974
117,0.44360108124091463
118,0.44306170322181604
119,0.4425295745895497
120,0.44200454666251576
121,0.44148647429480814
122,0.44097521580054255
123,0.44047063288110394
124,0.43997259055477195
125,0.4394809570880499
126,0.4389956039290884
127,0.4385164056423296
128,0.43804323984397703
129,0.43757598713922286
130,0.4371145310595117
131,0.4366587580016263
132,0.4362085571660242
133,0.4357638204971005
134,0.4353244426230044
135,0.4348903207963175
136,0.4344613548355603
137,0.43403744706624064
138,0.4336185022633738
139,0.4332044275939693
140,0.4327951325599441
141,0.43239052894180074
142,0.4319905307430229
143,0.431595054134863
144,0.43120401740146774
145,0.430817340886709
146,0.4304349469404656
147,0.4300567598666719
148,0.42968270587173757
149,0.4293127130137709
150,0.4289467111529884
151,0.42858463190250934
152,0.42822640858080013
153,0.42787197616428513
154,0.4275212712412333
155,0.42717423196725457
156,0.4268307980204528
157,0.42649091055909427
158,0.42615451217901396
159,0.4258215468728119
160,0.42549195998968015
161,0.4251656981968173
162,0.424842709440975
163,0.4245229429116514
164,0.42420634900522175
165,0.4238928792900364
166,0.42358248647206853
167,0.4232751243622754
168,0.42297074784426714
169,0.4226693128433233
170,0.42237077629631026
171,0.4220750961218691
172,0.4217822311927195
173,0.42149214130753393
174,0.4212047871645367
175,0.4209201303353125
176,0.4206381332402833
177,0.420358759123924
178,0.4200819720314472
179,0.4198077367861113
180,0.41953601896688314
181,0.41926678488752267
182,0.4190000015756112
183,0.4187356367525956
184,0.41847365881458426
185,0.41821403681350633
186,0.41795674043895437
187,0.41770174000073057
188,0.41744900641184746
189,0.41719851117199996
190,0.41695022635198226
191,0.41670412457786077
192,0.41646017901625415
193,0.41621836336006934
194,0.41597865181437443
195,0.41574101908307315
196,0.4155054403553686
197,0.41527189129377295
198,0.4150403480212582
199,0.4148107871097103
200,0.4145831855681098
